stargazers,openissues,closedissues,forkCount,pullRequests,commitnum,watchers,diskUsage_kb,readme_bytes,releases,projects,milestones,deployments,issuelabels,repositoryTopics,descr_len,hasUrl,hasLicense,hasWiki,hasIssue,created,updated
3.0,0.0,5.0,3.0,1.0,560.0,2.0,5542.0,3299.0,0.0,0.0,0.0,0.0,10.0,6.0,25.0,0.0,0.0,0.0,1.0,1427674124.0,1581340622.0
1.0,0.0,0.0,0.0,4.0,282.0,1.0,20000.0,384.0,0.0,0.0,0.0,0.0,8.0,3.0,57.0,1.0,0.0,1.0,1.0,1427687809.0,1580064975.0
1.0,3.0,3.0,0.0,1.0,152.0,1.0,326.0,790.0,0.0,0.0,0.0,0.0,6.0,0.0,25.0,0.0,0.0,0.0,1.0,1427841836.0,1580563048.0
49.0,16.0,13.0,35.0,19.0,98.0,4.0,121.0,440.0,2.0,0.0,0.0,0.0,10.0,0.0,35.0,0.0,1.0,1.0,1.0,1427456364.0,1580836594.0
41.0,10.0,83.0,74.0,111.0,3.0,16.0,56737.0,19.0,0.0,0.0,0.0,0.0,7.0,0.0,30.0,1.0,1.0,1.0,1.0,1427474798.0,1581623102.0
41.0,2.0,1.0,3.0,23.0,59.0,5.0,184.0,2121.0,0.0,0.0,0.0,0.0,7.0,4.0,43.0,0.0,1.0,1.0,1.0,1427436308.0,1581410941.0
38.0,16.0,116.0,16.0,4.0,2792.0,6.0,14968.0,960.0,0.0,1.0,1.0,0.0,8.0,4.0,24.0,0.0,1.0,1.0,1.0,1427470230.0,1581888812.0
35.0,79.0,657.0,13.0,19.0,3234.0,8.0,468820.0,3820.0,7.0,3.0,17.0,8.0,28.0,9.0,44.0,0.0,1.0,1.0,1.0,1427496560.0,1581587427.0
33.0,3.0,10.0,14.0,14.0,58.0,6.0,115.0,1865.0,0.0,0.0,0.0,0.0,7.0,3.0,58.0,1.0,1.0,1.0,1.0,1427493746.0,1579180550.0
17.0,2.0,0.0,32.0,385.0,1449.0,10.0,2374.0,3507.0,2.0,0.0,0.0,0.0,7.0,3.0,65.0,1.0,0.0,1.0,1.0,1427488643.0,1581527182.0
16.0,10.0,12.0,53.0,57.0,0.0,44.0,1008.0,0.0,0.0,0.0,5.0,0.0,17.0,0.0,0.0,0.0,1.0,1.0,1.0,1427444923.0,1581946954.0
