"stargazers","openissues","closedissues","forkCount","pullRequests","commitnum","watchers","diskUsage_kb","readme_bytes","releases","projects","milestones","deployments","issuelabels","repositoryTopics","descr_len","hasUrl","hasLicense","hasWiki","hasIssue","created","updated"
"97","3","3","23","16","51","5","32","0","0","0","0","0","7","0","62","0","1","1","1","1427583441","1581654534"
"90","8","46","34","76","1194","15","3343","3911","20","0","0","0","7","0","53","0","1","1","1","1427515032","1581558763"
"90","0","0","22","7","242","18","4988","0","0","0","0","0","7","5","91","1","0","0","0","1427556533","1580721497"
"84","13","69","32","104","1175","9","2072","0","0","0","0","0","8","0","84","1","1","1","1","1427514313","1581629685"
"2","0","0","0","0","183","1","2187","367","0","0","0","0","7","0","33","0","0","1","1","1427560612","1579030280"
"78","0","0","26","156","2696","17","25343","0","30","0","0","0","7","4","29","1","1","0","0","1427545586","1581863710"
"76","7","255","59","141","2161","25","117302","1127","15","0","0","0","12","3","33","0","1","1","1","1427532490","1581176790"
"72","0","0","11","1","166","14","1843","1738","4","0","0","0","7","0","73","1","1","1","1","1427558691","1579409048"
"70","35","38","11","8","428","7","765","13913","0","0","0","0","7","0","43","0","1","1","1","1427555667","1581840136"
"61","13","47","29","22","72","10","94","12815","15","0","2","0","10","0","47","0","1","0","1","1427581152","1581117738"
"44","429","369","25","118","1333","20","39259","4352","20","16","2","0","35","0","66","1","0","1","1","1427570528","1581542174"
"43","2","1","20","13","69","10","148","0","0","0","0","0","7","5","49","0","1","1","1","1427569501","1578964484"
"39","1","16","15","6","270","12","1307","13268","9","0","0","0","10","6","53","0","1","1","1","1427554890","1580877084"
"35","34","114","21","26","288","20","478292","880","1","0","0","0","7","0","49","1","0","1","1","1427529750","1581260575"
"32","7","7","24","11","57","8","55","486","8","0","0","0","7","0","0","0","0","1","1","1427584488","1581245846"
"27","0","2","5","5","34","3","45","2670","0","0","0","0","5","0","69","0","1","1","1","1427558653","1581621880"
"25","0","0","9","0","874","4","26157","9959","0","0","0","0","7","4","59","0","0","1","1","1427574297","1581663145"
"21","0","0","6","7","11418","3","187487","1511","0","0","0","0","7","5","56","1","0","1","0","1427557057","1581280000"
"19","0","0","39","5","2274","14","194644","256","0","0","0","0","7","0","37","0","1","0","0","1427565327","1580257249"
"19","32","37","10","30","5910","10","262721","1570","31","0","0","0","9","0","37","0","1","1","1","1427568567","1579053724"
"19","31","291","11","70","1445","22","221543","13876","3","2","8","141","22","16","89","0","1","1","1","1427560211","1580914036"
"15","1","0","5","0","183","3","398","0","1","0","0","0","7","0","49","0","1","1","1","1427509459","1579769870"
"14","17","1","20","0","41","1","2816","0","0","0","0","0","25","0","13","0","0","1","1","1427525549","1580301957"
"10","0","0","6","0","9036","8","17706","0","0","0","0","0","7","0","38","1","1","1","0","1427504168","1581777644"
"9","0","0","3","1","46","1","695","4622","0","0","0","0","10","0","53","0","0","0","0","1427562455","1579192183"
"5","0","1","7","3","496","4","3851","0","0","0","0","0","7","0","20","1","0","1","1","1427560108","1580138159"
"5","10","9","15","28","9995","12","115700","0","0","0","0","0","7","8","33","1","0","0","1","1427552977","1581797662"
"4","0","0","0","0","110","2","182","4937","0","0","0","0","7","0","27","0","0","1","1","1427547482","1578623159"
"6","0","1","3","0","425","2","96752","3026","0","0","0","198","7","0","19","1","1","1","1","1427530778","1578615458"
"6","0","0","3","1","339","1","489","7","0","0","0","0","7","0","0","0","1","1","1","1427527956","1581039242"
"6","10","20","13","64","325","11","84220","358","1","0","1","40","11","0","32","0","1","1","1","1427527386","1580673380"
"5","0","0","0","0","509","3","23538","1306","0","0","0","0","7","0","43","0","1","1","1","1427572536","1581822728"
"5","0","5","1","0","544","6","126893","16890","5","2","0","0","7","0","45","1","1","1","1","1427573270","1581705907"
"4","7","41","7","11","513","7","565","0","0","0","0","0","9","0","0","0","1","1","1","1427547796","1581116351"
"4","0","1","0","0","487","2","776","3410","10","0","0","1","7","7","58","1","0","1","1","1427511166","1580748358"
"3","0","0","1","25","60","1","177","1396","0","0","0","0","8","4","62","0","1","1","1","1427571268","1579858713"
"101","8","0","18","3","58","19","1709246","3722","0","0","0","0","7","0","40","0","0","1","1","1427591840","1579899432"
"92","4","8","142","52","251","14","9099","0","0","0","0","0","13","0","46","0","0","1","1","1427599137","1581828654"
"42","2","4","22","5","89","9","153","572","0","0","0","0","10","5","66","0","0","1","1","1427587383","1581896212"
"34","25","153","27","348","5496","31","404410","779","0","0","0","1325","7","0","20","1","0","0","1","1427661926","1580745487"
"3","0","23","3","3","10","1","3002","446","0","0","2","0","14","3","51","1","1","1","1","1427579678","1580170258"
"2","0","1","4","1","20","6","1954","2489","0","0","0","0","7","0","128","1","1","1","1","1427507994","1578812437"
"1","47","113","2","10","841","4","3024","6386","4","0","9","0","15","6","111","1","1","1","1","1427504598","1578325927"
"1","3","0","1","0","79","1","153","1566","0","0","0","0","7","0","94","0","1","1","1","1427517683","1579913043"
"1","0","0","0","0","15","1","319","0","3","0","0","0","7","0","28","0","1","0","1","1427539053","1579102670"
"1","0","1","0","11","52","1","63022","0","0","0","0","38","8","0","20","1","1","1","1","1427525639","1579432314"
"1","0","0","0","0","14","1","408","2584","0","0","0","0","7","0","83","0","0","0","1","1427581596","1581078926"
"1","0","1","0","0","124","1","2210","774","18","0","0","0","7","4","50","0","1","1","1","1427578534","1580039349"
"17","28","97","15","198","1496","16","6659","233","20","0","11","2","8","0","40","0","0","1","1","1428597089","1579744106"
"1","0","0","0","0","95","2","19243","635","0","0","0","26","7","1","14","0","1","1","1","1427568018","1581507043"
"8046","0","0","4095","36","286","765","1500","22823","2","0","0","0","8","5","67","0","1","0","0","1427651791","1581955125"
"1469","73","413","209","260","3106","118","8950","3621","3","0","1","0","14","10","52","0","1","1","1","1427589240","1581973082"
