stargazers,openissues,closedissues,forkCount,pullRequests,commitnum,watchers,diskUsage_kb,readme_bytes,releases,projects,milestones,deployments,issuelabels,repositoryTopics,descr_len,hasUrl,hasLicense,hasWiki,hasIssue,created,updated
839,1,5,104,53,187.0,44,251,30877,0,0,0,0,7,2,55,0,0,0,1,1427516477,1581958480
143,11,15,45,49,108.0,5,93,1657,0,0,0,0,7,0,44,0,0,1,1,1427581849,1581943043
36,0,9,11,0,107.0,8,6689,1180,0,0,0,0,7,0,11,0,0,0,1,1427547716,1579174169
2506,0,56,727,6,218.0,228,11887,30662,4,0,0,0,12,6,38,0,1,0,1,1427544273,1581976437
1756,54,1077,351,1113,4350.0,234,120627,2616,48,1,19,0,41,0,31,1,1,1,1,1427506640,1581378031
700,12,34,62,39,880.0,17,964,12471,0,0,0,0,9,0,55,0,1,0,1,1427573008,1581960013
617,36,75,115,304,656.0,39,1876,6110,9,0,2,40,15,5,27,0,1,0,1,1427522590,1581502196
566,9,19,69,31,158.0,20,451,5658,1,0,1,0,7,0,31,1,1,1,1,1427557556,1581796044
447,235,316,163,23,1450.0,66,2512,3377,0,0,0,0,35,0,40,1,1,1,1,1427579836,1581652450
422,162,522,71,80,5489.0,43,203236,6249,41,8,17,0,22,0,39,0,1,0,1,1427561573,1581928939
391,46,111,150,764,1862.0,41,4873,2498,23,0,4,0,35,0,43,0,1,0,1,1427514753,1581871103
34,3,3,17,5,71.0,22,52,3573,0,0,0,0,7,0,31,0,0,1,1,1427749281,1581728272
32,0,0,2,0,9.0,7,3705,0,0,0,0,0,7,0,0,0,0,1,1,1427695502,1581318232
2,0,0,1,2,17.0,1,27,1023,0,0,0,0,8,0,32,0,0,1,1,1428471598,1579844560
1,0,0,0,0,,1,312,0,0,0,0,65,7,0,0,0,0,0,0,1428462452,1579820634
296,7,62,30,38,193.0,31,254,2288,12,0,0,0,7,3,91,0,1,0,1,1427566278,1581029775
173,0,0,59,0,45.0,10,135932,1873,0,0,0,0,7,0,85,0,0,1,1,1427531907,1581470993
124,6,214,36,26,1353.0,22,4729,0,0,0,0,9,14,0,63,1,0,1,1,1427556762,1581933765
119,26,13,20,20,59.0,13,45,3769,0,0,0,0,7,0,28,0,1,1,1,1427580490,1580451458
106,5,35,20,9,506.0,18,637,28604,0,0,0,0,10,0,45,0,1,0,1,1427504578,1580146067
105,338,1351,78,76,1636.0,41,20036,3341,0,1,3,0,27,0,23,0,1,1,1,1427581877,1580603911
97,3,3,23,16,51.0,5,32,0,0,0,0,0,7,0,62,0,1,1,1,1427583441,1581654534
90,8,46,34,76,1194.0,15,3343,3911,20,0,0,0,7,0,53,0,1,1,1,1427515032,1581558763
90,0,0,22,7,242.0,18,4988,0,0,0,0,0,7,5,91,1,0,0,0,1427556533,1580721497
84,13,69,32,104,1175.0,9,2072,0,0,0,0,0,8,0,84,1,1,1,1,1427514313,1581629685
2,0,0,0,0,183.0,1,2187,367,0,0,0,0,7,0,33,0,0,1,1,1427560612,1579030280
78,0,0,26,156,2696.0,17,25343,0,30,0,0,0,7,4,29,1,1,0,0,1427545586,1581863710
76,7,255,59,141,2161.0,25,117302,1127,15,0,0,0,12,3,33,0,1,1,1,1427532490,1581176790
72,0,0,11,1,166.0,14,1843,1738,4,0,0,0,7,0,73,1,1,1,1,1427558691,1579409048
70,35,38,11,8,428.0,7,765,13913,0,0,0,0,7,0,43,0,1,1,1,1427555667,1581840136
61,13,47,29,22,72.0,10,94,12815,15,0,2,0,10,0,47,0,1,0,1,1427581152,1581117738
44,429,369,25,118,1333.0,20,39259,4352,20,16,2,0,35,0,66,1,0,1,1,1427570528,1581542174
43,2,1,20,13,69.0,10,148,0,0,0,0,0,7,5,49,0,1,1,1,1427569501,1578964484
39,1,16,15,6,270.0,12,1307,13268,9,0,0,0,10,6,53,0,1,1,1,1427554890,1580877084
35,34,114,21,26,288.0,20,478292,880,1,0,0,0,7,0,49,1,0,1,1,1427529750,1581260575
32,7,7,24,11,57.0,8,55,486,8,0,0,0,7,0,0,0,0,1,1,1427584488,1581245846
27,0,2,5,5,34.0,3,45,2670,0,0,0,0,5,0,69,0,1,1,1,1427558653,1581621880
25,0,0,9,0,874.0,4,26157,9959,0,0,0,0,7,4,59,0,0,1,1,1427574297,1581663145
21,0,0,6,7,11418.0,3,187487,1511,0,0,0,0,7,5,56,1,0,1,0,1427557057,1581280000
19,0,0,39,5,2274.0,14,194644,256,0,0,0,0,7,0,37,0,1,0,0,1427565327,1580257249
19,32,37,10,30,5910.0,10,262721,1570,31,0,0,0,9,0,37,0,1,1,1,1427568567,1579053724
19,31,291,11,70,1445.0,22,221543,13876,3,2,8,141,22,16,89,0,1,1,1,1427560211,1580914036
15,1,0,5,0,183.0,3,398,0,1,0,0,0,7,0,49,0,1,1,1,1427509459,1579769870
14,17,1,20,0,41.0,1,2816,0,0,0,0,0,25,0,13,0,0,1,1,1427525549,1580301957
10,0,0,6,0,9036.0,8,17706,0,0,0,0,0,7,0,38,1,1,1,0,1427504168,1581777644
9,0,0,3,1,46.0,1,695,4622,0,0,0,0,10,0,53,0,0,0,0,1427562455,1579192183
5,0,1,7,3,496.0,4,3851,0,0,0,0,0,7,0,20,1,0,1,1,1427560108,1580138159
5,10,9,15,28,9995.0,12,115700,0,0,0,0,0,7,8,33,1,0,0,1,1427552977,1581797662
4,0,0,0,0,110.0,2,182,4937,0,0,0,0,7,0,27,0,0,1,1,1427547482,1578623159
6,0,1,3,0,425.0,2,96752,3026,0,0,0,198,7,0,19,1,1,1,1,1427530778,1578615458
6,0,0,3,1,339.0,1,489,7,0,0,0,0,7,0,0,0,1,1,1,1427527956,1581039242
6,10,20,13,64,325.0,11,84220,358,1,0,1,40,11,0,32,0,1,1,1,1427527386,1580673380
